"","Year","ObsAnn","ObsEffortAnn","EstEffortAnn","ObsCovAnn","RatioAnn","CV.RatioAnn","TreeEstAnn","CV.TreeEstAnn","TreeEstAnn.MSI","CV.TreeEstAnn.MSI"
"1990",1990,0,178,4078,0.044,0,NA,1.06,4,0.528,4.9
"1991",1991,0,470,4778,0.098,0,NA,3.41,1.6,1.71,1.9
"1992",1992,0,596,4379,0.136,0,NA,2.65,1.6,1.32,1.7
"1993",1993,0,728,5442,0.134,0,NA,2.29,1.4,1.14,1.6
"1994",1994,1,759,4248,0.179,5.6,1,2.34,1.2,1.67,0.92
"1995",1995,0,572,3673,0.156,0,NA,1.51,1.6,0.754,1.8
"1996",1996,1,421,3392,0.124,8.1,0.97,3.31,1.2,2.16,0.94
"1997",1997,0,692,3039,0.228,0,NA,0.432,2.4,0.216,2.5
"1998",1998,0,587,3353,0.175,0,NA,0.306,2.9,0.153,3.3
"1999",1999,1,526,2634,0.2,5,0.98,1.62,0.8,1.31,0.55
"2000",2000,0,444,1936,0.229,0,NA,0.495,2.2,0.248,2.4
"2001",2001,0,339,1665,0.204,0,NA,0.532,2.3,0.266,2.4
"2002",2002,0,360,1630,0.221,0,NA,0.297,3.2,0.149,3.4
"2003",2003,0,298,1467,0.203,0,NA,0.291,4,0.146,4.7
"2004",2004,0,223,1084,0.206,0,NA,0,0,0,0
"2005",2005,0,225,1075,0.209,0,NA,0.13,3.5,0,0
"2006",2006,0,266,1433,0.186,0,NA,0,0,0,0
"2007",2007,0,204,1241,0.164,0,NA,1.06,1.9,0.532,2.1
"2008",2008,0,149,1103,0.135,0,NA,0.719,2.4,0.359,2.6
"2009",2009,0,101,761,0.133,0,NA,0.497,2.6,0.249,2.8
"2010",2010,0,59,492,0.12,0,NA,0.238,4.4,0.119,3.9
"2011",2011,1,85,435,0.195,5.1,0.99,1.05,0.33,1.03,0.24
"2012",2012,0,83,445,0.187,0,NA,0,0,0,0
"2013",2013,0,175,470,0.372,0,NA,0.12,3.6,0,0
"2014",2014,0,97,409,0.237,0,NA,0.436,2.7,0.218,2.8
"2015",2015,0,74,361,0.205,0,NA,0.156,4.1,0,0
"2016",2016,0,134,737,0.182,0,NA,0.294,3,0.147,3.6
"2017",2017,0,111,598,0.186,0,NA,0.189,3.6,0,0
"2018",2018,0,129,513,0.251,0,NA,0.226,3.7,0.113,3.9
"2019",2019,0,73,323,0.226,0,NA,0,0,0,0
"2020",2020,0,51,230,0.222,0,NA,0,0,0,0
"2021",2021,0,37,162,0.228,0,NA,0,0,0,0
