"","Year","ObsAnn","ObsEffortAnn","EstEffortAnn","ObsCovAnn","RatioAnn","CV.RatioAnn","TreeEstAnn","CV.TreeEstAnn","TreeEstAnn.MSI","CV.TreeEstAnn.MSI"
"1990",1990,0,178,4078,0.044,0,NA,0.131,12,0.131,12
"1991",1991,0,470,4778,0.098,0,NA,1.04,3.1,1.04,3.1
"1992",1992,1,596,4379,0.136,7.3,1.02,2.18,1.3,2.18,1.3
"1993",1993,0,728,5442,0.134,0,NA,2.06,2.1,2.06,2.1
"1994",1994,1,759,4248,0.179,5.6,0.96,1.55,0.98,1.55,0.98
"1995",1995,0,572,3673,0.156,0,NA,0.533,2.8,0.533,2.8
"1996",1996,0,421,3392,0.124,0,NA,1.12,2.8,1.12,2.8
"1997",1997,0,692,3039,0.228,0,NA,0.185,4.1,0.185,4.1
"1998",1998,0,587,3353,0.175,0,NA,0,0,0,0
"1999",1999,0,526,2634,0.2,0,NA,0.306,3.2,0.306,3.2
"2000",2000,0,444,1936,0.229,0,NA,0,0,0,0
"2001",2001,0,339,1665,0.204,0,NA,0.103,5.4,0.103,5.4
"2002",2002,0,360,1630,0.221,0,NA,0.898,2.1,0.898,2.1
"2003",2003,0,298,1467,0.203,0,NA,0,0,0,0
"2004",2004,0,223,1084,0.206,0,NA,0.162,4.5,0.162,4.5
"2005",2005,0,225,1075,0.209,0,NA,0,0,0,0
"2006",2006,0,266,1433,0.186,0,NA,0,0,0,0
"2007",2007,0,204,1241,0.164,0,NA,0,0,0,0
"2008",2008,0,149,1103,0.135,0,NA,0.166,5.5,0.166,5.5
"2009",2009,0,101,761,0.133,0,NA,0.159,5.2,0.159,5.2
"2010",2010,0,59,492,0.12,0,NA,0,0,0,0
"2011",2011,0,85,435,0.195,0,NA,0,0,0,0
"2012",2012,0,83,445,0.187,0,NA,0,0,0,0
"2013",2013,0,175,470,0.372,0,NA,0.16,2.8,0.16,2.8
"2014",2014,0,97,409,0.237,0,NA,0,0,0,0
"2015",2015,0,74,361,0.205,0,NA,0.341,3.9,0.341,3.9
"2016",2016,0,134,737,0.182,0,NA,0,0,0,0
"2017",2017,0,111,598,0.186,0,NA,0.126,4.8,0.126,4.8
"2018",2018,0,129,513,0.251,0,NA,0,0,0,0
"2019",2019,0,73,323,0.226,0,NA,0,0,0,0
"2020",2020,0,51,230,0.222,0,NA,0,0,0,0
"2021",2021,0,37,162,0.228,0,NA,0,0,0,0
