"","Year","ObsAnn","ObsEffortAnn","EstEffortAnn","ObsCovAnn","RatioAnn","CV.RatioAnn","TreeEstAnn","CV.TreeEstAnn","TreeEstAnn.MSI","CV.TreeEstAnn.MSI"
"1990",1990,0,178,4078,0.044,0,NA,0,0,0,0
"1991",1991,0,470,4778,0.098,0,NA,0.832,4.5,0.832,4.5
"1992",1992,3,596,4379,0.136,22,0.97,15.5,1.7,15.5,1.7
"1993",1993,0,728,5442,0.134,0,NA,6.65,4.2,6.65,4.2
"1994",1994,0,759,4248,0.179,0,NA,0.391,6.1,0.391,6.1
"1995",1995,0,572,3673,0.156,0,NA,0.176,8.8,0.176,8.8
"1996",1996,0,421,3392,0.124,0,NA,0.218,6.7,0.218,6.7
"1997",1997,0,692,3039,0.228,0,NA,0.213,6.4,0.213,6.4
"1998",1998,0,587,3353,0.175,0,NA,0.64,6.9,0.64,6.9
"1999",1999,0,526,2634,0.2,0,NA,1.41,4.1,1.41,4.1
"2000",2000,0,444,1936,0.229,0,NA,0.324,8,0.324,8
"2001",2001,0,339,1665,0.204,0,NA,0.238,8.2,0.238,8.2
"2002",2002,0,360,1630,0.221,0,NA,0.255,5,0.255,5
"2003",2003,0,298,1467,0.203,0,NA,0.257,4.7,0.257,4.7
"2004",2004,0,223,1084,0.206,0,NA,0.265,4.6,0.265,4.6
"2005",2005,0,225,1075,0.209,0,NA,0.751,2.8,0.751,2.8
"2006",2006,0,266,1433,0.186,0,NA,0.409,4.4,0.409,4.4
"2007",2007,0,204,1241,0.164,0,NA,0.374,5.3,0.374,5.3
"2008",2008,0,149,1103,0.135,0,NA,0,0,0,0
"2009",2009,0,101,761,0.133,0,NA,0,0,0,0
"2010",2010,1,59,492,0.12,8.3,0.96,1,0,1,0
"2011",2011,0,85,435,0.195,0,NA,0,0,0,0
"2012",2012,0,83,445,0.187,0,NA,0,0,0,0
"2013",2013,0,175,470,0.372,0,NA,0.101,10,0.101,10
"2014",2014,0,97,409,0.237,0,NA,0,0,0,0
"2015",2015,0,74,361,0.205,0,NA,0,0,0,0
"2016",2016,0,134,737,0.182,0,NA,0,0,0,0
"2017",2017,0,111,598,0.186,0,NA,0,0,0,0
"2018",2018,0,129,513,0.251,0,NA,0,0,0,0
"2019",2019,0,73,323,0.226,0,NA,0,0,0,0
"2020",2020,0,51,230,0.222,0,NA,0,0,0,0
"2021",2021,0,37,162,0.228,0,NA,0,0,0,0
