"","Year","ObsAnn","ObsEffortAnn","EstEffortAnn","ObsCovAnn","RatioAnn","CV.RatioAnn","TreeEstAnn","CV.TreeEstAnn","TreeEstAnn.MSI","CV.TreeEstAnn.MSI"
"1990",1990,0,178,4078,0.044,0,NA,20.4,0.39,19.5,0.39
"1991",1991,0,470,4778,0.098,0,NA,18.4,0.25,17.5,0.26
"1992",1992,6,596,4379,0.136,44.1,0.4,29.1,0.19,28,0.19
"1993",1993,3,728,5442,0.134,22.4,0.58,28.9,0.2,27.6,0.2
"1994",1994,6,759,4248,0.179,33.6,0.39,23.5,0.18,22.7,0.18
"1995",1995,6,572,3673,0.156,38.5,0.39,20.8,0.19,20.1,0.19
"1996",1996,0,421,3392,0.124,0,NA,9.33,0.4,8.89,0.4
"1997",1997,0,692,3039,0.228,0,NA,4.17,0.34,3.98,0.34
"1998",1998,0,587,3353,0.175,0,NA,0.295,2.3,0.281,2.3
"1999",1999,0,526,2634,0.2,0,NA,0.775,2,0.738,2
"2000",2000,0,444,1936,0.229,0,NA,0.52,2.1,0.495,2.1
"2001",2001,0,339,1665,0.204,0,NA,0,0,0,0
"2002",2002,0,360,1630,0.221,0,NA,0.344,2.6,0.328,2.6
"2003",2003,0,298,1467,0.203,0,NA,0.133,4,0.127,3.9
"2004",2004,0,223,1084,0.206,0,NA,0,0,0,0
"2005",2005,0,225,1075,0.209,0,NA,0,0,0,0
"2006",2006,0,266,1433,0.186,0,NA,0,0,0,0
"2007",2007,0,204,1241,0.164,0,NA,0.295,3.2,0.281,3.1
"2008",2008,0,149,1103,0.135,0,NA,0,0,0,0
"2009",2009,0,101,761,0.133,0,NA,0,0,0,0
"2010",2010,0,59,492,0.12,0,NA,0.502,3.4,0.478,3.4
"2011",2011,0,85,435,0.195,0,NA,0,0,0,0
"2012",2012,0,83,445,0.187,0,NA,0,0,0,0
"2013",2013,0,175,470,0.372,0,NA,0.126,3,0.12,3
"2014",2014,0,97,409,0.237,0,NA,0,0,0,0
"2015",2015,0,74,361,0.205,0,NA,0,0,0,0
"2016",2016,0,134,737,0.182,0,NA,0.464,1.6,0.442,1.6
"2017",2017,0,111,598,0.186,0,NA,0,0,0,0
"2018",2018,0,129,513,0.251,0,NA,0,0,0,0
"2019",2019,0,73,323,0.226,0,NA,0,0,0,0
"2020",2020,0,51,230,0.222,0,NA,0,0,0,0
"2021",2021,0,37,162,0.228,0,NA,0,0,0,0
"2022",2022,0,28,142,0.197,0,NA,0,0,0,0
"2023",2023,0,37,219,0.169,0,NA,0.22,0.56,0.209,0.55
