"","Year","ObsAnn","ObsEffortAnn","EstEffortAnn","ObsCovAnn","RatioAnn","CV.RatioAnn","TreeEstAnn","CV.TreeEstAnn","TreeEstAnn.MSI","CV.TreeEstAnn.MSI"
"1990",1990,1,178,4078,0.044,22.9,0.97,8.76,0.93,8.76,0.93
"1991",1991,0,470,4778,0.098,0,NA,9.25,0.61,9.25,0.61
"1992",1992,4,596,4379,0.136,29.4,0.5,17.4,0.33,17.4,0.33
"1993",1993,0,728,5442,0.134,0,NA,7.9,0.37,7.9,0.37
"1994",1994,3,759,4248,0.179,16.8,0.56,9.41,0.34,9.41,0.34
"1995",1995,0,572,3673,0.156,0,NA,3.51,0.54,3.51,0.54
"1996",1996,0,421,3392,0.124,0,NA,1.55,0.43,1.55,0.43
"1997",1997,0,692,3039,0.228,0,NA,0.809,0.55,0.809,0.55
"1998",1998,0,587,3353,0.175,0,NA,0.362,2.9,0.362,2.9
"1999",1999,0,526,2634,0.2,0,NA,0.579,2.3,0.579,2.3
"2000",2000,0,444,1936,0.229,0,NA,0.2,3.7,0.2,3.7
"2001",2001,0,339,1665,0.204,0,NA,0,0,0,0
"2002",2002,0,360,1630,0.221,0,NA,0.201,3.6,0.201,3.6
"2003",2003,0,298,1467,0.203,0,NA,0,0,0,0
"2004",2004,0,223,1084,0.206,0,NA,0,0,0,0
"2005",2005,0,225,1075,0.209,0,NA,0,0,0,0
"2006",2006,0,266,1433,0.186,0,NA,0.201,3.7,0.201,3.7
"2007",2007,0,204,1241,0.164,0,NA,0.318,3.3,0.318,3.3
"2008",2008,0,149,1103,0.135,0,NA,0,0,0,0
"2009",2009,0,101,761,0.133,0,NA,0,0,0,0
"2010",2010,0,59,492,0.12,0,NA,0,0,0,0
"2011",2011,0,85,435,0.195,0,NA,0,0,0,0
"2012",2012,0,83,445,0.187,0,NA,0,0,0,0
"2013",2013,0,175,470,0.372,0,NA,0.217,2.4,0.217,2.4
"2014",2014,0,97,409,0.237,0,NA,0,0,0,0
"2015",2015,0,74,361,0.205,0,NA,0,0,0,0
"2016",2016,0,134,737,0.182,0,NA,0.155,4.2,0.155,4.2
"2017",2017,0,111,598,0.186,0,NA,0,0,0,0
"2018",2018,0,129,513,0.251,0,NA,0,0,0,0
"2019",2019,0,73,323,0.226,0,NA,0,0,0,0
"2020",2020,0,51,230,0.222,0,NA,0,0,0,0
"2021",2021,0,37,162,0.228,0,NA,0,0,0,0
"2022",2022,0,28,142,0.197,0,NA,0,0,0,0
